id,pop,bam,bam_path,ds2x_bam_path
17-05,EGSB,17-05_sorted_markdup,/home/hfv906/shared_files/Bams/17-05_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-05_sorted_markdup_ds2x.bam
17-07,EGSB,17-07_sorted_markdup,/home/hfv906/shared_files/Bams/17-07_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-07_sorted_markdup_ds2x.bam
17-08,EGSB,17-08_sorted_markdup,/home/hfv906/shared_files/Bams/17-08_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-08_sorted_markdup_ds2x.bam
17-10,EGSB,17-10_sorted_markdup,/home/hfv906/shared_files/Bams/17-10_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-10_sorted_markdup_ds2x.bam
17-12,EGSB,17-12_sorted_markdup,/home/hfv906/shared_files/Bams/17-12_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-12_sorted_markdup_ds2x.bam
17-17,EGSB,17-17_sorted_markdup,/home/hfv906/shared_files/Bams/17-17_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-17_sorted_markdup_ds2x.bam
17-18,EGSB,17-18_sorted_markdup,/home/hfv906/shared_files/Bams/17-18_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-18_sorted_markdup_ds2x.bam
17-19,EGSB,17-19_sorted_markdup,/home/hfv906/shared_files/Bams/17-19_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-19_sorted_markdup_ds2x.bam
17-20,EGSB,17-20_sorted_markdup,/home/hfv906/shared_files/Bams/17-20_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-20_sorted_markdup_ds2x.bam
17-21,EGSB,17-21_sorted_markdup,/home/hfv906/shared_files/Bams/17-21_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/17-21_sorted_markdup_ds2x.bam
18_5_S2,EGSB,18_5_S2_sorted_markdup,/home/hfv906/shared_files/Bams/18_5_S2_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/18_5_S2_sorted_markdup_ds2x.bam
18_6_S3,EGSB,18_6_S3_sorted_markdup,/home/hfv906/shared_files/Bams/18_6_S3_sorted_markdup.bam,/home/hfv906/data/downsample/Bams/18_6_S3_sorted_markdup_ds2x.bam
24311,ECWG,24311_sorted_markdup,/home/hfv906/shared_files/Bams/24311_sorted_markdup.bam,
24312,ECWG,24312_sorted_markdup,/home/hfv906/shared_files/Bams/24312_sorted_markdup.bam,
24313,ECWG,24313_sorted_markdup,/home/hfv906/shared_files/Bams/24313_sorted_markdup.bam,
24314,ECWG,24314_sorted_markdup,/home/hfv906/shared_files/Bams/24314_sorted_markdup.bam,
